,text,label_category
818,"But it's technically free, I mean they do rely on your donations to help them to keep running and maintenance of the artwork so I would actively encourage that you do or these works could fade out of existence","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
819,"It's an experience if you like your renaissance art etc what I have found tough on the 2 Times I have been there in my life time is that the layout of the place feels like your going in circles, could be helped by almost making a more rigid route to follow so you know for certain you have seen every piece.","[1, 0, 0, 0, 0, 0, 0, 1, 0]"
820,"I would recommend coming on a weekday to avoid the crowds, but the Van Gogh pieces usually have a decent number of people surrounding them.","[0, 0, 0, 0, 0, 0, 0, 1, 0]"
821,"Seriously, the interior of the gallery itself is one of the most impressive things about it.","[0, 1, 0, 0, 0, 0, 0, 0, 0]"
822,"A wide variety of the most beautiful artwork from different ages and nations and painters, all housed in a gorgeous building.","[0, 1, 0, 0, 0, 0, 0, 0, 0]"
823,"There is really something for everyone here, and spending a few hours strolling through the gallery rooms is just sublime.","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
824,Been here at least 10 times and it always feels so new.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
825,I will always love this place.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
826,"Still, if you wait long enough you can take a nice pic and selfie.","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
827,"I recently joined English Heritage so decided to to visit the stones just after lockdown. well worth stopping if you are passing, the information centre is very well laid out.","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
828,They also buses that take you up the road but you must remember your mask to get on.,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
829,"i've wanted to vist stonehenge all my life, i've driven past it a few times but never stopped.","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
830,Even though we pre booked a time slot we had to que for quite some time to get to the desk to have our tickets checked & the timings where quite pointless and social distancing at the entrance was hard. once through the entrance there was plenty of space walking up to the stones.,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
831,Though it might be to save visitors' time filling out forms and holding everyone up I suppose.,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
832,I've knocked off a star as I think over £20 is a bit expensive and I don't know why they charge more for gift aid when they can claim the tax back from our entry fee.,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
833,You're not allowed to touch the stones but you can get quite close to them to take photos.,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
834,"The car park is situated about 34 mile across a field or along the road from the stones, and we walked there, though there is a shuttle bus if you can't walk that far.","[0, 0, 0, 0, 0, 1, 0, 0, 0]"
835,Spent an enjoyable day here on our way back from Dorset.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
836,There are some new exhibits around and lots of information about the history.,"[1, 1, 0, 0, 0, 0, 0, 0, 0]"
837,"You can't get close to the stones anymore, which is a shame - one wonders how they survived so many years without this protection..","[0, 1, 0, 0, 0, 0, 0, 0, 0]"
838,I visited stonehenge some 15-20 years ago and my memory of it was much better.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
839,The visitor centre is a couple of miles away from the site now and is a good mile or two walk...,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
840,"They do provide free busses - however they neglected to tell us about them when we got our tickets (we weren't the only ones apparently) - take the bus, its a long walk.","[0, 0, 0, 0, 1, 1, 0, 0, 0]"
841,Another way to enforce the genocide of a people amd culture is also to keep people from being able to visit their spiritually significant sites.,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
842,Real shame on how its our spiritual site but as its not christian we dont get any access with such exhorbitant costs.,"[1, 0, 1, 0, 0, 0, 0, 0, 0]"
843,"Surprisingly incredible to see in person, cant believe it took me so long.","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
844,Tipgo for free by showing up and walking along the bridal path.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
845,My photo is from the free path.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
846,Even for those of us who practice what we can of the old ways.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
847,Reminded me of the elephant from Amsterdam that had a fake story attached to it just to make is a touristic attraction.,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
848,"Getting there is not complicated, but its an adventure to get the tickets and then to fight your way through the other tourists that are about to leave the site quicker than coming in.","[0, 0, 0, 0, 0, 0, 0, 1, 0]"
849,"Keep in mind this is just one opinion, subjective and limited to my very own ladder of values.","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
850,Not to be missed though as one needs to see it before classify it.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
851,Overrated and quite lame.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
852,Its a controversial place because its so called prehistoric story just fails to say anything about anything.,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
853,The price you pay to visit this amazing monument and the experience of it is totally disappointing.,"[0, 0, 1, 0, 0, 0, 0, 0, 1]"
854,"You will not be able to go around the Stonehenge because the walking platform dose not get around it, so you will see it only very partially.","[0, 0, 0, 0, 0, 0, 0, 1, 0]"
855,Besides the infrastructure poor design the ambience is awful.,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
856,"In merely 1h visit there was 2 very aggressive approaches of the security personnel to some tourists that for some reason touched the grass around the path, like it was a CIA mission.","[0, 0, 0, 0, 1, 0, 0, 0, 0]"
857,No serious admire of ancient monuments will feel at easy in this place but those who just get happy with the photo may rate it 5* so no surprise.,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
858,"dear friends this place also very very thrilling and impressive structures also there the Stonehenge, the great prehistoric mystery, has been located squarely in the middle of an English field since about 3100 B.C.not that there was such a concept as England then.","[1, 0, 1, 0, 0, 0, 0, 0, 0]"
859,"Speculation about its purpose have included suggestions that it functioned as a burial site, a religious space, an astronomical observatory, or something else entirely, but no one is really quite sure about why its there.","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
860,"Although the Google view of the site is unusually blurry, the monument might best be viewed from afar as an out-of-focus whole, rather than in closer details as just a confusing bunch of rocks.","[0, 1, 0, 0, 0, 0, 0, 0, 0]"
861,"I used to live in Swindon and we use to travel to the stones every couple of years for winter solstice in the 1970s, when i was about 6 years old there were a few people around, we use to just sit down on a blanket peacefully, watch the sun rise and listen to the birds singing, but it was generally quiet, Now its been totally taken over bye wannabee hippies and druggies, and all that so called singing is a joke.","[0, 0, 0, 0, 0, 0, 0, 1, 1]"
862,Theirs nothing English about this event and it defiantly has nothing to do with our English heritage.,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
863,"And shame on any off you climbing all over the stones, and one more thing i bet the place was left in a mess.","[0, 0, 0, 0, 0, 0, 0, 1, 0]"
864,"It is a disgrace that this place has been commercialised and transformed into an expensive tourist trap. £45 for a family to visit, where is that money being spent?","[0, 0, 1, 0, 0, 0, 0, 0, 0]"
865,"A visitor centre nobody asked for, or a pointless 2 mile bus drive to the site when the A303 bypasses the stones by less than 0.1 of a mile.","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
866,Hippie culture is now shunned upon despite being part of stonehenge's history.,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
867,Better yet go see the nearby Avebury stone circle.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
868,Bring your binoculars and view the site from nearby fields for free (no doubt the English Heritage will ban this in future) and don't support this theft.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
869,"Stonehenge itself was a underwhelming, the restrictive rope was placed such that you are quite a bit away from the stones.","[0, 0, 0, 0, 0, 0, 0, 1, 1]"
870,"There weren't so many tourists that you can't get pictures in, but the distance from where you stand to the rocks make it so you need to manipulate camera angles otherwise you look like a giant in comparison to the rocks which in reality are several times your height.","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
871,Maybe about 150-200 meters away.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
872,Great to see once but not something I would do again.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
873,The journey started from the coach bus at London Victoria station took about 2 hours each way and coated about 40 pounds per person.,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
874,Incredibly expensive for entry and as a Unesco World Heritage site the guides don't stake up (once I paid for the audiovideo guide and the souvenir book the whole visit was £30 and some spaces were closed because of social distancing).,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
875,"It is a beautiful, memorable experience marvelling at the Lady Chapel ceiling and spending time in such an historic, peaceful place of worship but sadly still could be much improved for visitors.","[1, 1, 0, 0, 0, 0, 0, 0, 0]"
876,The video audio clips were 60 second snippets that didn't reveal much at all and the book thin with over a 1000 years of history - surely there are lots of fascinating human insight stories to share?,"[1, 0, 0, 0, 0, 0, 1, 0, 0]"
877,IMPORTANT Photographs inside are not allowed.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
878,"It closes very soon (last admission at 1530), it is advisable to take the ticket online to avoid the queue.","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
879,"The building itself is quite impressive, and even more so when you realize how many important people there are buried there (Charles Darwin, Isaac Newton, Stephen Hawking ...","[1, 0, 0, 0, 0, 0, 0, 0, 0]"
880,In addition to innumerable Kings and Queens).,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
881,"There is no apparent reason, since the employees themselves say that you can download high resolution photos of everything for free from their website (but we all know that it is not the same).","[0, 0, 0, 0, 1, 0, 0, 0, 0]"
882,The Abbey is a must see in London.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
883,"Westminster Abbey - the resting place of nearly all English kings and Queens Beautiful building And surprisingly spiritual - bearing in mind how many people were there It still keeps it's heritage - which is good No photos inside which I think helps Close to a number of tube stations and other London ""sights"" You get a commentary as you go round - but it's good as your choice as to when  if you . listen or not Numerous languages available BUT over £20 entry fee - should you pay to go.in a church - open to discussion And large queue - took me 30 mins to get in Pre book in you can - it's a bit.cheaper and avoid the queues","[1, 1, 1, 1, 0, 1, 1, 0, 0]"
884,"Great history to be seen and learnt here and the tour is very informative, though be aware you can't take photos here.","[1, 0, 0, 0, 0, 0, 0, 0, 0]"
885,"Also be aware, there is over 1000 years of architecture and history slowly being chipped away by careless tourists every day.","[1, 0, 0, 0, 0, 0, 0, 1, 0]"
886,"They let thousands of tourists each day trample through and over the tombs, stones and memorials and make little effort to protect some of the historical pieces.","[0, 0, 0, 0, 1, 0, 0, 1, 0]"
887,It seems like they care less about preserving the history and more about making a few quid...,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
888,The tour operators didn't seem to make much effort to preserve the ancient architecture in its current condition.,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
889,"If you visit, keep this in consideration.","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
890,"Inside was still quite busy, however the flow through the Abbey appears to have been assisted by the restriction in taking photos.","[0, 0, 0, 0, 0, 0, 0, 1, 0]"
891,"The architecture, artefacts (eg Coronation Chair, Unknown Warrior grave) and stained glass windows are breathtaking.","[0, 1, 0, 0, 0, 0, 0, 0, 0]"
892,"On what was a quieter day (28th August), there was less than 5 people in the queue, so this was one London attraction where fast-track entry was not required.","[0, 0, 0, 0, 0, 0, 0, 1, 0]"
893,The most moving of those buried at the Abbey was the plaque for Stephen Hawking who passed away in 2018.,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
894,"With many monarchs and world-greats buried here, it was a little eerie walking on their final resting places.","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
895,IMHO your time and money is better spent elsewhere.,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
896,It feels very disjointed because theres so much different architecture and design everywhere it felt like a graveyardtombstone warehouse that stores these things haphazardly.,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
897,"The church to me was not as beautiful as I thought it might be, but Ive been spoiled by places like La Sagrada Familia and the Vatican.","[0, 1, 0, 0, 0, 0, 0, 0, 0]"
898,"Did not really enjoy it it cost 17£ for a student and it was a hodgepodge of a lot of graves, but unless youve studied some of the history before hand, the audio guide mostly just told you who was buried where.","[0, 0, 1, 0, 0, 0, 1, 0, 0]"
899,Your ticket comes with the London Pass which I highly recommend.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
900,It is just beautiful!,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
901,The best part of the galleries is the central view looking down into the abbey.,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
902,You can see some of the original clothing worn by past kings and queens.,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
903,Mary Queen of Scots & Queen Elizabeth I are buried here.,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
904,If you are a fan of British royalty this is the place for you.,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
905,I just visited again and thought it was so cool that Stephen Hawking is buried between Charles Darwin and Isaac Newton.,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
906,It's beautiful and the audio guide is really good.,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
907,"In addition, the Queen's Diamond Jubilee Galleries are now open.","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
908,That's a pretty high honor.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
909,"Its a shame that we cant take photos inside though, its so beautiful","[0, 1, 0, 0, 0, 0, 0, 0, 1]"
910,NO PHOTOGRAPHY. they are very serious about it so dont even think about it...seriously GOD IS WATCHING.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
911,Unfortunately there are also many many people who feel the same way so it can get really crowded.,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
912,The abbey is still a totally functional place of worship with services ongoing.,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
913,"This place is filled with rich history, its also a wonderful place to see.","[1, 0, 0, 0, 0, 0, 0, 0, 0]"
914,You have to come here if you are in the neighborhood or even remotely close.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
915,Ive seen a lot of Cathedrals in my life but this one is the best.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
916,How they expect people with families to be able to afford entry is beyond me.,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
917,The Abbey is of national importance and should be charging nominal fees to allow low income members of society access.,"[1, 0, 1, 0, 0, 0, 0, 0, 0]"
918,"The admission prices are astronomical, £23 per adult!","[0, 0, 1, 0, 0, 0, 0, 0, 0]"
919,Very embarrassing to witness foreigners with no real understanding of our currency walking past the prices board towards the cash desk.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
920,To top it off once you shell out way too much cash to see a church there is a section you can't visit without paying more.,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
921,"My advise, if you want to see the tomb of Elizabeth I try Instagram.","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
922,"But if you really need to feel what cattle going to the slaughterhouse feels like, then pay the fee.","[0, 0, 1, 0, 0, 0, 0, 0, 0]"
923,Years ago when the admission fee included a guide with personality and romantic stories it was fun.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
924,Don't waste your time and money here.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
925,There are so many great things to do in London.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
926,"Now they pack us in like sardines and hand out dry humorless ""interactive guides.""","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
927,The museum is lovely but I am giving it a 3 start because I want the board to fix the grounds and bring it back to its Ferguson years!,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
928,If you love football and visit England visit here its worth every quid!,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
929,"The convenience stands, restroom facilities and some portions of the stands require maintenance however the ambience and soul of this place still exists!","[1, 0, 0, 0, 0, 0, 1, 0, 0]"
930,Finally completed my pilgrimage to one of the most sacred places in football.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
931,"I absolutely loved it here at the theatre of dreams, but the stadium needs a refresh its been a long time since any renovations have happened here.","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
932,Our seats were high & the banking excessively steep.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
933,"Also the roof came down so low that, although it was possible to see the whole playing surface, I could not see the opposite side of the stadium and the crowd, which badly distracted from the overall atmosphere.","[1, 0, 0, 0, 0, 0, 1, 0, 0]"
934,I saw no significant crowd trouble & overall the experience was a good one.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
935,"A large, modern football stadium.","[0, 1, 0, 0, 0, 0, 0, 0, 0]"
936,"As an elderly man it would have been impossible for me to get down & back at half time to get any refreshments, or even reach the toilets.","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
937,Plenty of helpful and attentive stewards.,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
938,"Taxis are conveniently located, directions were mapped out everywhere.","[0, 0, 0, 0, 0, 1, 0, 0, 0]"
939,"All in all, was a lovely informative experience.","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
940,Highly recommended for couples or small families.,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
941,"Was a delightful visit, tour made me want to attend a match one day just to see how accurate everything was in the tour.","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
942,"Much more organized than stamford bridge, and is well maintained.","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
943,Lovely way to spend the afternoon to get away from the shopping area.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
944,Was a delight to have a side chat with as he is a hardcore man united fan.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
945,"Lovely and highly knowledgeable tour guide, I believe his name was xxx.","[0, 0, 0, 0, 1, 0, 0, 0, 0]"
946,Didnt really give us enough time to take pictures though.,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
947,If I could give 4.5 I would as it's a fantastic stadium even as a Liverpool fan born in Bath and living in Cheltenham.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
948,Only suggestions I'd have are 1.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
949,"Went for Soccer Aid 2018 and the environment was family friendly and all round fantastic, we found it a little hard to navigate round but once you've done it once it's pretty straight forward.","[0, 0, 0, 1, 0, 0, 0, 1, 0]"
950,My best friend is a Manchester United support so I always get him something from the shop when I go and the staff are very pleasant.,"[0, 0, 1, 0, 1, 0, 0, 0, 0]"
951,More deals in the shop 2.,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
952,"Better mapping across the walls Bar that, always a fantastic experience!","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
953,I was waiting over an hour to move less than a mile on my trip there.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
954,I'd advise anyone to park well clear of the stadium and walk the distance you will save yourself so much time.,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
955,I would recommend the visit but the time taken to get in and out really but a dampener on the trip.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
956,Security place cones in the street to prevent drivers cutting in the other side of the road but as soon as they move on the cones are removed and the place is literally grid locked.,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
957,Parking and driving before and after events is dreadful though.,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
958,Nice place to visit as it is Old Trafford.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
959,The tours are now shorter as parts are now closed to the public.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
960,"When I asked for 5 audio translators the woman snapped at me and said "" no they are not available "" the wall was full of translators.","[0, 0, 0, 0, 1, 0, 0, 0, 0]"
961,Spent over £160.00 on 7 tickets.,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
962,Was very disappointed with the way the staff treated us on the group tour .,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
963,When the tour guide snapped at everyone for not reading the fine print on entry.,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
964,But only informed at the end of the tour.,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
965,I had a look and couldn't see any such notice.,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
966,The place is actually amazing.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
967,But the tour was somewhat tainted by the rude staff.,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
968,"I found the seats uncomfortable, it is very difficult to get seats with a good view unless you have paid a season ticket for a lot of years, coming ingetting out is stressful, parking is expensive or too far away, there is no heatingblankets and you freeze, supporters are rather quiet and loudspeakers are too loud I am not the kind of person to enjoy stuff intended for the masses, but being objective I have to give the place some credit.","[1, 0, 0, 0, 0, 1, 1, 0, 1]"
969,I think this is the minimum score to give from someone like me who does not support the club (I support Barcelona Football club),"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
970,"My wife was given no such warning about her (small) handbag, yet when we tried to get into the ground we were told her bag was too big, so I had to go back to the car with it.","[0, 0, 0, 0, 1, 0, 0, 0, 0]"
971,The woman in front of us was warned she would not be able to take her (large) bag into the stadium.,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
972,"We were searched on the way into the ticket office, understandable in the current climate.","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
973,These guys could spend the night in a brewery and still come out sober!,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
974,Once inside the ground we saw numerous larger bags.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
975,Highly recommended if you are a Manchester United supporter like me.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
976,Road works at the roundabout there means leaving the matches are tedious.,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
977,"I'd recommend parking in the nearby Trafford industrial estate and walking to the stadium, as it can take an age to exit the car parks on Old Trafford way.","[0, 0, 0, 0, 0, 1, 0, 0, 0]"
978,Plenty of support shown for Carrick's last game and Sir Alex after his recent sudden illness and operation.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
979,"No the greatest game against Watford, but great food and hospitality at best club ground in the UK.","[0, 0, 0, 0, 1, 0, 0, 0, 0]"
980,"Had Executive Club tickets in the 1968 suite with seats in the North West Quadrant, which had great views of the pitch.","[0, 1, 0, 0, 0, 0, 0, 0, 0]"
981,The entire crowd seems to be made up of people with no tangible connection to Manchester whatsoever who have driven up from places like Lemington Spa so that on Monday morning they can regale their less adventurous posh friends with stories about how they rubbed shoulders with the rough northern scally wags while dodging bullets in Madchester.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
982,Thoroughly disappointing and uninspiring.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
983,I found it rather amusing that there doesn't seems to be a single person from Manchester in attendance at the ground on match days.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
984,"Not that it was unsafe, because overall it was pleasant.","[0, 0, 0, 0, 0, 0, 0, 1, 0]"
985,It was just a feeling.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
986,So overall it's a nice park to visit and check it out.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
987,"There are gardens on the perimeter, which can be really pretty.","[0, 1, 0, 0, 0, 0, 0, 0, 0]"
988,"The only thing, is that since it is quite big, I felt like it had no securities for all of it.","[0, 0, 0, 0, 0, 0, 0, 1, 0]"
989,"If you check your map right, you are within walking distance from Camden and the British Museum.","[0, 0, 0, 0, 0, 1, 0, 0, 0]"
990,But that could've have been the day I went and time.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
991,"Huge park with sports fields and large ""pasture"" to relax, exercise, picnic, etc. You do have a lot of room to run and jog and even bike ride.","[0, 0, 0, 1, 0, 0, 0, 1, 0]"
992,As a child my grandmother brought me often and we would feed the ducks or watch whoever was playing in the bandstand.,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
993,Occasionally we would go pedal or row boating on the lake.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
994,"We would try and come each season to see all the different flowers, I particularly loved the rose garden and the huge amounts of daffodils.","[0, 1, 0, 0, 0, 0, 0, 0, 0]"
995,I finally went back recently having not been in years and everything from my memory holds true.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
996,The open air theatre and the zoo are added bonuses,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
997,Regent's park has always been one of my favourite places to spend time.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
998,"Hired a rowing boat at well inflated prices, ores were broken and they had no replacements so we got shoved on a pedalo which we didn't want to do.","[0, 0, 1, 0, 0, 0, 1, 0, 0]"
999,Far too expensive and clueless staff.,"[0, 0, 1, 0, 1, 0, 0, 0, 0]"
1000,No matter what you said he always had something insulting and negative to say to you.,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
1001,Went there at night for a meeting of the Baker Street Irregular Astronomers - most of the younger members of the Baker Street Irregular Astronomers were nice to myself and my friends but one much older guy was very rude.,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
1002,"He especially insulted the women that came to the park, most of whom were only in their early 20's.","[0, 0, 0, 0, 1, 0, 0, 0, 0]"
1003,Great for sports activities or lounging on the grass.,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
1004,"I have two complaints though - there is no cycling or skating lane, which I feel like every park should have - and it can get quite noisy especially close to the street.","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
1005,"Also if you happen to like running a general thing I've noticed with London parks is there is no running treks and you really shouldn't run on pavement, it's bad for your joints so go on the grass!","[0, 0, 0, 0, 0, 0, 1, 0, 1]"
1006,"Nevertheless, an amazing place to spend your sunny days in.","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
1007,Amazing park with a lovely natural lake and lots of ducks and other birds as well as squirrels.,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
1008,But if you just want a soft drink and a place to sit it's not bad.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
1009,We stopped here briefly looking for something warm on a rainy day.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
1010,"Personally, my coffee was awful but friends didn't mind theirs!","[0, 0, 1, 0, 0, 0, 0, 0, 0]"
1011,It's a shame that with such a prime location they're not doing more with it!,"[0, 0, 0, 0, 0, 1, 0, 0, 1]"
1012,There's a small selection of snacky food and a small selection of drinks too.,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
1013,They certainly have some kind of problem when you drive around in there looking for a place to park.,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
1014,I don't think they come around anymore.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
1015,Did not meet the Regent.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
1016,Zoo on a wet cold February day.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
1017,To my mind very expensive.maybe this is why even with it being half term not busy at all.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
1018,Perhaps a reduction on such days when you can't see animals because they don't want to be out would encourage more visitors.Also when they are rebuilding areas hit by fire and many exhibits without animals think a reduction in entrance fees should be encouraged rather than the upselling on books etc at entrance gate,"[0, 0, 1, 0, 0, 0, 0, 1, 0]"
1019,"amazing scenery and beautiful animals such as swans, ducks,and squirrels who are surprisingly unfazed by the presents of people but also keep there distance.i do not live near here but from the few times i have visited i have had an amazing time playing with friends having picnics etc.placed in a very convenient spot,a short walk from a very famous attraction in London called madame Tussaud and in central London with a local tour bus stop right outside,suits everyone's need of transportit is also very close to a train station.definitely one of or the best parks in London.","[0, 1, 0, 1, 0, 1, 0, 0, 1]"
1020,"There's place for kids to play, can't remember if there were dogs there too.","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
1021,When you get to the part closer to Camden Town it gets prettier with lots of shady trees and grass and looks like a great place to jog.,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
1022,"I wasn't impressed by the flora, there were some Japanese plants and small waterfall features but nothing to write home about and nothing I really wanted to snap.","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
1023,It is a huge park and a great place to read or enjoy a meal... except some guy found me enjoying the serenity there and decided he'd bother me.,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
1024,It was so close to Evertons stadium as well.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
1025,If I had more chance I will visit here again.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
